chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
6,020_021_022_023,1,30.1,यम्,यं,यद्{पुं;2;एक},यद्{पुं;2;एक},"कर्म,31.1","कर्म,31.1",जिसको
6,020_021_022_023,1,31.1,लब्ध्वा,लब्ध्वा,लभ्1{कृत्_प्रत्ययः;क्त्वा;डुलभँष्;भ्वादिः},लभ्1{कृत्_प्रत्ययः;क्त्वा;डुलभँष्;भ्वादिः},"पूर्वकालः,35.1","पूर्वकालः,35.1",प्राप्त_होकर
6,020_021_022_023,1,32.1,च,चापरं,च{अव्य},च{अव्य},"सम्बन्धः,31.1","सम्बन्धः,31.1",और
6,020_021_022_023,1,33.1,अ-,0,अ,अ,"नञ्-तत्पुरुषः,33.2","नञ्-तत्पुरुषः,33.2",दूसरा
6,020_021_022_023,1,33.2,परम्,-,पर{पुं;2;एक}/पर{नपुं;1;एक}/पर{नपुं;2;एक}/पर{पुं;2;एक}/पर{नपुं;1;एक}/पर{नपुं;2;एक},पर{पुं;2;एक},"विशेषणम्,34.1","विशेषणम्,34.1",-
6,020_021_022_023,1,34.1,लाभम्,लाभं,लाभ{पुं;2;एक},लाभ{पुं;2;एक},"कर्म,35.1","कर्म,35.1",लाभ_को
6,020_021_022_023,1,35.1,मन्यते,मन्यते,मन्यता{स्त्री;1;द्वि}/मन्यता{स्त्री;2;द्वि}/मन्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;मनँ;दिवादिः}/मन्2{कर्मणि;लट्;प्र;एक;आत्मनेपदी;मनुँ;तनादिः}/मन्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;मनँ;दिवादिः},मन्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;मनँ;दिवादिः},अभिहित_कर्ता,अभिहित_कर्ता,मानता
6,020_021_022_023,1,36.1,न,नाधिकं,न{अव्य},न{अव्य},"प्रतिषेधः,35.1","प्रतिषेधः,35.1",नहीं
6,020_021_022_023,1,37.1,अधिकम्,0,अधिक{पुं;2;एक}/अधिक{नपुं;1;एक}/अधिक{नपुं;2;एक},अधिक{पुं;2;एक},"कर्मसमानाधिकरणम्,35.1","कर्मसमानाधिकरणम्,35.1",अधिक
6,020_021_022_023,1,38.1,ततः,ततः,ततः{अव्य},ततः{अव्य},"सन्दर्भ_बिन्दुः,37.1","सन्दर्भ_बिन्दुः,37.1",उससे
6,020_021_022_023,1,39.1,यस्मिन्,यस्मिन्स्थितो,यद्{पुं;7;एक}/यद्{नपुं;7;एक},यद्{पुं;7;एक},"अधिकरणम्,40.1","अधिकरणम्,40.1",जिस_अवस्था_में
6,020_021_022_023,1,40.1,स्थितः,0,स्थित{पुं;1;एक}/स्था1{कृत्_प्रत्ययः;क्त;ष्ठा;भ्वादिः;पुं;1;एक},स्था1{कृत्_प्रत्ययः;क्त;ष्ठा;भ्वादिः;पुं;1;एक},"कर्म,45.1","कर्म,45.1;विशेषणम्,0.1",स्थित
6,020_021_022_023,1,41.1,न,न,न{अव्य},न{अव्य},"प्रतिषेधः,45.1","प्रतिषेधः,45.1",नहीं
6,020_021_022_023,1,42.1,दुःखेन,दुःखेन,दुःख{नपुं;3;एक},दुःख{नपुं;3;एक},"हेतुः,45.1","हेतुः,45.1;कर्ता,16.1",दुःख_से
6,020_021_022_023,1,43.1,गुरुणा,गुरुणापि,गुरु{पुं;3;एक},गुरु{पुं;3;एक},"विशेषणम्,42.1","विशेषणम्,42.1",बड़े_भारी
6,020_021_022_023,1,44.1,अपि,0,अपि{अव्य},अपि{अव्य},"सम्बन्धः,42.1","सम्बन्धः,42.1",भी
6,020_021_022_023,1,45.1,विचाल्यते,विचाल्यते,वि_चल्1_णिच्{कर्तरि;लट्;प्र;एक;आत्मनेपदी;चलँ_णिच्;भ्वादिः},वि_चल्1_णिच्{कर्तरि;लट्;प्र;एक;आत्मनेपदी;चलँ_णिच्;भ्वादिः},अभिहित_कर्ता,अभिहित_कर्ता,चलायमान_होता_है
6,020_021_022_023,1,47.1,तम्,तं,तद्{पुं;2;एक},तद्{पुं;2;एक},"कर्म,48.1","कर्म,48.1",उसको
6,020_021_022_023,1,48.1,विद्यात्,विद्याद्दुःखसंयोगवियोगं,विद्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;विदँ;अदादिः}/विद्1{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;विदँ;अदादिः}/विद्3{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;विदॢँ;तुदादिः},विद्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;विदँ;अदादिः},अभिहित_कर्ता,अभिहित_कर्ता,जानना_चाहिये
6,020_021_022_023,1,49.1,दुःख-,0,दुःख,दुःख,"षष्ठी-तत्पुरुषः,49.2","षष्ठी-तत्पुरुषः,49.2",दुःखरूप_संसार_के_संयोग_से_रहित
6,020_021_022_023,1,49.2,संयोग-,-,संयोग,संयोग,"पञ्चमी-तत्पुरुषः,49.3","पञ्चमी-तत्पुरुषः,49.3",-
6,020_021_022_023,1,49.3,वियोगम्,-,वियोग{पुं;2;एक}/वियोग{नपुं;1;एक}/वियोग{नपुं;2;एक},वियोग{नपुं;2;एक},"विशेषणम्,47.1","विशेषणम्,47.1",-
6,020_021_022_023,1,50.1,योग-,योगसञ्ज्ञितम्,योग,योग,"कर्मधारयः,50.2","कर्मधारयः,50.2",जिसका_नाम_योग_है
6,020_021_022_023,1,50.2,सञ्ज्ञितम्,-,सञ्ज्ञित{पुं;2;एक}/सञ्ज्ञित{नपुं;1;एक}/सञ्ज्ञित{नपुं;2;एक},सञ्ज्ञित{नपुं;2;एक},"विशेषणम्,47.1","विशेषणम्,47.1",-
6,020_021_022_023,1,51.1,सः,स,तद्{पुं;1;एक},तद्{पुं;1;एक},"विशेषणम्,54.1","विशेषणम्,54.1",वह
6,020_021_022_023,1,52.1,निश्चयेन,निश्चयेन,निश्चय{पुं;3;एक},निश्चय{पुं;3;एक},"क्रियाविशेषणम्,53.1","क्रियाविशेषणम्,53.1",निश्चयपूर्वक
6,020_021_022_023,1,53.1,योक्तव्यः,योक्तव्यो,योक्तव्य{पुं;1;एक}/युज्2{कृत्_प्रत्ययः;तव्यत्;युजिँर्;रुधादिः;पुं;1;एक},युज्2{कृत्_प्रत्ययः;तव्यत्;युजिँर्;रुधादिः;पुं;1;एक},"अभिहित_कर्म,54.1","अभिहित_कर्म,54.1",करना_कर्तव्य_है
6,020_021_022_023,1,54.1,योगः,योगोऽनिर्विण्णचेतसा,योग{पुं;1;एक},योग{पुं;1;एक},"कर्म,53.1","कर्म,53.1",योग
6,020_021_022_023,1,55.1,अ-,0,अ,अ,"नञ्-बहुव्रीहिः,55.2","नञ्-बहुव्रीहिः,55.2",न_उकताये_हुए_अर्थात्_धैर्य_और_उत्साहयुक्त_चित्त_से
6,020_021_022_023,1,55.2,निर्विण्ण-,-,निर्विण्ण,निर्विण्ण,"बहुव्रीहिः,55.3","बहुव्रीहिः,55.3",-
6,020_021_022_023,1,55.3,चेतसा,-,चेतस्{नपुं;3;एक},चेतस्{नपुं;3;एक},"कर्ता,53.1","कर्ता,53.1",-
