chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
9,025-026-027-028-029.1,1,11.1,पृथिवी-,पृथिवी-लक्षण-अङ्कया,पृथिवी,पृथिवी,"कर्मधारयः,11.2","कर्मधारयः,11.2",पृथिवी-
9,025-026-027-028-029.1,1,11.2,लक्षण-,--,लक्षण(लक्ष्1;ल्युट्;चुरादिः)}/लक्षण(लक्ष्2{ल्युट्;चुरादिः),लक्षण(लक्ष्1;ल्युट्;चुरादिः),"बहुव्रीहिः,11.3","बहुव्रीहिः,11.3",-
9,025-026-027-028-029.1,1,11.3,अङ्कया,--,अङ्का{स्त्री;3;एक},अङ्का{स्त्री;3;एक},"विशेषणम्,9.1","उपमानम्,9.1#कर्ता,14.1#करणम्,41.1#करणम्,20.2#हेतुः,41.1#हेतुः,20.2#हेतुः,14.1#विशेषणम्,9.1",अङ्के_से
9,025-026-027-028-029.1,1,12.1,पृथिवीम्,पृथिवीम्,पृथिवी{स्त्री;2;एक},पृथिवी{स्त्री;2;एक},"उपमानम्,19.1","उपमानम्,19.1#उपमानम्,15.4#कर्म,14.1",पृथ्वी_को
9,025-026-027-028-029.1,1,13.1,इव,इव,इव{अव्य},इव{अव्य},"उपमान_द्योतकः,12.1","उपमानम्_रहित_उपमान_द्योतकः,14.1#उपमान_द्योतकः,12.1",जैसे
9,025-026-027-028-029.1,1,14.1,विस्तीर्णाम्,विस्तीर्णाम्,विस्तीर्णा{स्त्री;2;एक(वि_स्तॄ1;क्त;क्र्यादिः)},विस्तीर्णा{स्त्री;2;एक(वि_स्तॄ1;क्त;क्र्यादिः)},"विशेषणम्,19.1","विशेषणम्,42.1#विशेषणम्,36.1#विशेषणम्,35.2#विशेषणम्,34.1#विशेषणम्,30.2#विशेषणम्,28.1#विशेषणम्,19.1#विशेषणम्,24.2#विशेषणम्,23.1#विशेषणम्,20.2#विशेषणम्,15.4#कर्म,20.2",वि_स्तॄ1या_हुई
9,025-026-027-028-029.1,1,15.1,स-,स-राष्ट्र-गृह-शालिनीम्,स,स,"बहुव्रीहिः,15.2","बहुव्रीहिः,15.2",स-
9,025-026-027-028-029.1,1,15.2,राष्ट्र-,--,राष्ट्र,राष्ट्र,"द्वन्द्वः,15.3","द्वन्द्वः,15.3",राष्ट्र-
9,025-026-027-028-029.1,1,15.3,गृह-,--,गृह,गृह,"तृतीया_तत्पुरुषः,15.4","तृतीया_तत्पुरुषः,15.4",गृह-
9,025-026-027-028-029.1,1,15.4,शालिनीम्,--,शालिनी{स्त्री;2;एक},शालिनी{स्त्री;2;एक},"विशेषणम्,12.1","विशेषणम्,42.1#विशेषणम्,36.1#विशेषणम्,35.2#विशेषणम्,34.1#विशेषणम्,30.2#विशेषणम्,28.1#विशेषणम्,12.1#विशेषणम्,24.2#विशेषणम्,23.1#विशेषणम्,20.2#कर्म,20.2",घर_की_स्वामिनी_को
9,025-026-027-028-029.1,1,16.1,नादिताम्,नादिताम्,नादि{तल्;स्त्री;2;एक}/नादिन्{तल्;स्त्री;2;एक},नादि{तल्;स्त्री;2;एक},"विशेषणम्,19.1","विशेषणम्,42.1#विशेषणम्,36.1#विशेषणम्,35.2#विशेषणम्,34.1#विशेषणम्,30.2#विशेषणम्,19.1#विशेषणम्,26.1#विशेषणम्,24.2#विशेषणम्,23.1#विशेषणम्,20.2#कर्म,20.2",नादि_को
9,025-026-027-028-029.1,1,17.1,मत्त-,मत्त-विहगैः,मत्त,मत्त,"कर्मधारयः,17.2","कर्मधारयः,17.2",मत्त-
9,025-026-027-028-029.1,1,17.2,विहगैः,--,विहग{पुं;3;बहु}/विहग{नपुं;3;बहु},विहग{पुं;3;बहु},"करणम्,16.1","करणम्,16.1",पक्षियों_से
9,025-026-027-028-029.1,1,18.1,दिव्य-,दिव्य-गन्ध-अधिवासिताम्,दिव्य,दिव्य,"कर्मधारयः,18.2","कर्मधारयः,18.2",दिव्य-
9,025-026-027-028-029.1,1,18.2,गन्ध-,--,गन्ध,गन्ध,"तृतीया_तत्पुरुषः,18.3","तृतीया_तत्पुरुषः,18.3",गन्ध-
9,025-026-027-028-029.1,1,18.3,अधिवासिताम्,--,अधिवासिता{स्त्री;2;एक},अधिवासिता{स्त्री;2;एक},"विशेषणम्,19.1","विशेषणम्,19.1",-
9,025-026-027-028-029.1,1,19.1,(शालाम्),शालाम्,शाला{स्त्री;2;एक},शाला{स्त्री;2;एक},"कर्म,41.1","कर्म,41.1",शाला_को
9,025-026-027-028-029.1,1,20.1,परार्घ्य-,परार्घ्य-आस्तरण-उपेताम्,-,-,"कर्मधारयः,20.2","कर्मधारयः,20.2",-
9,025-026-027-028-029.1,1,20.2,आस्तरण-,आस्तरण-उपेताम्,तरण(तॄ1;ल्युट्;भ्वादिः),तरण(तॄ1;ल्युट्;भ्वादिः),"तृतीया_तत्पुरुषः,20.3","तृतीया_तत्पुरुषः,20.3",-
9,025-026-027-028-029.1,1,20.3,उपेताम्,--,उप_इ1{कर्तरि;लोट्;प्र;द्वि;परस्मैपदी;अदादिः}/उपेता{स्त्री;2;एक(उप_इ1;क्त;अदादिः)},उपेता{स्त्री;2;एक(उप_इ1;क्त;अदादिः)},"विशेषणम्,19.1","विशेषणम्,19.1",पास_जायें
9,025-026-027-028-029.1,1,21.1,रक्षः-,रक्षः-अधिप-निषेविताम्,रक्षस्,रक्षस्,"षष्ठी_तत्पुरुषः,21.2","षष्ठी_तत्पुरुषः,21.2",रक्षः-
9,025-026-027-028-029.1,1,21.2,अधिप-,--,अधिप,अधिप,"तृतीया_तत्पुरुषः,21.3","तृतीया_तत्पुरुषः,21.3",अधिप-
9,025-026-027-028-029.1,1,21.3,निषेविताम्,--,निषेविता{स्त्री;2;एक},निषेविता{स्त्री;2;एक},"विशेषणम्,19.1","विशेषणम्,19.1",-
9,025-026-027-028-029.1,1,22.1,धूम्राम-,धूम्राम-गुरु-धूपेन,धूम्राम,धूम्राम,"कर्मधारयः,22.2","कर्मधारयः,22.2",धूम्राम-
9,025-026-027-028-029.1,1,22.2,गुरु-,--,गुरु,गुरु,"षष्ठी_तत्पुरुषः,22.3","षष्ठी_तत्पुरुषः,22.3",गुरु-
9,025-026-027-028-029.1,1,22.3,धूपेन,--,धूप{नपुं;3;एक},धूप{नपुं;3;एक},"करणम्,18.3","विशेषणम्,25.3#करणम्,18.3#हेतुः,41.1",धूप_से
9,025-026-027-028-029.1,1,23.1,विमलाम्,विमलाम्,विमला{स्त्री;2;एक},विमला{स्त्री;2;एक},"विशेषणम्,19.1","विशेषणम्,19.1",पवित्र_को
9,025-026-027-028-029.1,1,24.1,हंस-,हंस-पाण्डुराम्,हंस,हंस,"बहुव्रीहिः,24.2","बहुव्रीहिः,24.2",हंस-
9,025-026-027-028-029.1,1,24.2,पाण्डुराम्,--,पाण्डुरा{स्त्री;2;एक},पाण्डुरा{स्त्री;2;एक},"विशेषणम्,19.1","विशेषणम्,42.1#विशेषणम्,36.1#विशेषणम्,35.2#विशेषणम्,34.1#विशेषणम्,30.2#विशेषणम्,28.1#विशेषणम्,19.1#उपमानम्,23.1",पाण्डुरा_को
9,025-026-027-028-029.1,1,25.1,पत्र-,पत्र-पुष्प-उपहारेण,पत्र,पत्र,"द्वन्द्वः,25.2","द्वन्द्वः,25.2",पत्र-
9,025-026-027-028-029.1,1,25.2,पुष्प-,--,पुष्प,पुष्प,"षष्ठी_तत्पुरुषः,25.3","षष्ठी_तत्पुरुषः,25.3",पुष्प-
9,025-026-027-028-029.1,1,25.3,उपहारेण,--,उपहार{पुं;3;एक}/उपहार{नपुं;3;एक},उपहार{पुं;3;एक},"करणम्,26.1","करणम्,26.1#हेतुः,41.1",उपहार_से
9,025-026-027-028-029.1,1,26.1,कल्माषीम्,कल्माषीम्,कल्माषी{स्त्री;2;एक},कल्माषी{स्त्री;2;एक},"उपमानम्,19.1","उपमानम्,30.2#उपमानम्,28.1#उपमानम्,24.2#उपमानम्,19.1",यमुना_नदी_को
9,025-026-027-028-029.1,1,27.1,इव,इव,इव{अव्य},इव{अव्य},"उपमान_द्योतकः,26.1","उपमानम्_रहित_उपमान_द्योतकः,28.1#उपमान_द्योतकः,26.1",जैसे
9,025-026-027-028-029.1,1,28.1,सुप्रभाम्,सुप्रभाम्,सुप्रभा{स्त्री;2;एक},सुप्रभा{स्त्री;2;एक},"विशेषणम्,19.1","विशेषणम्,19.1",सुप्रभा_को
9,025-026-027-028-029.1,1,29.1,मनसः,मनसः,मनस्{नपुं;5;एक}/मनस्{नपुं;6;एक},मनस्{नपुं;6;एक},"षष्ठीसम्बन्धः,30.2","षष्ठीसम्बन्धः,30.2",मन_से
9,025-026-027-028-029.1,1,30.1,मोद-,मोद-जननीम्,मोद,मोद,"षष्ठी_तत्पुरुषः,30.2","षष्ठी_तत्पुरुषः,30.2",मोद-
9,025-026-027-028-029.1,1,30.2,जननीम्,--,जननी{स्त्री;2;एक},जननी{स्त्री;2;एक},"विशेषणम्,19.1","विशेषणम्,19.1",जननी_को
9,025-026-027-028-029.1,1,31.1,वर्णस्य,वर्णस्य,वर्ण{पुं;6;एक}/वर्ण{नपुं;6;एक},वर्ण{पुं;6;एक},"षष्ठीसम्बन्धः,33.1","षष्ठीसम्बन्धः,33.1",वर्ण_की
9,025-026-027-028-029.1,1,32.1,अपि,अपि,अपि{अव्य},अपि{अव्य},"सम्बन्धः,33.1","सम्बन्धः,33.1",भी
9,025-026-027-028-029.1,1,33.1,प्रसाधिनीम्,प्रसाधिनीम्,प्रसाधिनी{स्त्री;2;एक},प्रसाधिनी{स्त्री;2;एक},"विशेषणम्,19.1","विशेषणम्,19.1",-
9,025-026-027-028-029.1,1,34.1,ताम्,ताम्,तद्{सर्वनाम;स्त्री;2;एक},तद्{सर्वनाम;स्त्री;2;एक},"विशेषणम्,19.1","विशेषणम्,19.1",उसको
9,025-026-027-028-029.1,1,35.1,शोक-,शोक-नाशिनीम्,शोक,शोक,"षष्ठी_तत्पुरुषः,35.2","षष्ठी_तत्पुरुषः,35.2",शोक-
9,025-026-027-028-029.1,1,35.2,नाशिनीम्,--,नाशिनी{स्त्री;2;एक},नाशिनी{स्त्री;2;एक},"विशेषणम्,19.1","विशेषणम्,42.1#विशेषणम्,19.1#कर्म,41.1",नाशिनी_को
9,025-026-027-028-029.1,1,36.1,दिव्याम्,दिव्याम्,दिव्या{स्त्री;2;एक},दिव्या{स्त्री;2;एक},"विशेषणम्,19.1","उपमानम्,35.2#कर्म,41.1#विशेषणम्,19.1",दिव्या_को
9,025-026-027-028-029.1,1,37.1,श्रियः,श्रियः,श्री{स्त्री;1;बहु}/श्री{स्त्री;6;एक}/श्री{स्त्री;5;एक}/श्री{स्त्री;2;बहु}/श्री{स्त्री;8;बहु},श्री{स्त्री;6;बहु},"षष्ठीसम्बन्धः,38.1","उपमानम्,36.1#उपमानम्,35.2#कर्म,41.1#हेतुः5,41.1#षष्ठीसम्बन्धः,42.1#षष्ठीसम्बन्धः,40.1#षष्ठीसम्बन्धः,38.1#षष्ठीसम्बन्धः,35.2#षष्ठीसम्बन्धः,31.1#षष्ठीसम्बन्धः,30.2#षष्ठीसम्बन्धः,29.1#षष्ठीसम्बन्धः,28.1#षष्ठीसम्बन्धः,26.1#षष्ठीसम्बन्धः,25.3#षष्ठीसम्बन्धः,24.2#षष्ठीसम्बन्धः,23.1#षष्ठीसम्बन्धः,22.3#षष्ठीसम्बन्धः,17.2#षष्ठीसम्बन्धः,16.1#षष्ठीसम्बन्धः,15.4#षष्ठीसम्बन्धः,12.1#षष्ठीसम्बन्धः,11.3#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,5.1",श्री
9,025-026-027-028-029.1,1,38.1,संजननीम्,संजननीम्,संजननी{स्त्री;2;एक},संजननी{स्त्री;2;एक},"उपमानम्,19.1","उपमानम्,19.1",-
9,025-026-027-028-029.1,1,39.1,इव,इव,इव{अव्य},इव{अव्य},"उपमान_द्योतकः,38.1","उपमानम्_रहित_उपमान_द्योतकः,40.1#उपमान_द्योतकः,38.1",जैसे
9,025-026-027-028-029.1,1,40.1,(कपिः),कपिः,कपि{पुं;1;एक},कपि{पुं;1;एक},"कर्ता,41.1","उपमानम्,37.1#कर्ता,41.1",बंदर
9,025-026-027-028-029.1,1,41.1,(ददर्श),ददर्श,दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}/दृश्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भ्वादिः},दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः},अभिहित_कर्ता,-,देखा
