anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
15.1,भरद्वाजस्य,--,भरद्वाज{पुं;6;एक},भरद्वाज{पुं;6;एक},"कर्ता,16.1","विशेषणम्,23.1#कर्ता,16.1#कर्म,16.1#षष्ठीसम्बन्धः,24.1#षष्ठीसम्बन्धः,23.1#षष्ठीसम्बन्धः,21.1#षष्ठीसम्बन्धः,20.3#षष्ठीसम्बन्धः,18.1"
16.1,शासनात्,--,शासन{नपुं;5;एक(शास्1;ल्युट्;अदादिः)},शासन{नपुं;5;एक(शास्1;ल्युट्;अदादिः)},"हेतुः,14.1","हेतुः5,27.1#हेतुः5,22.1#हेतुः5,19.1#हेतुः,14.1"
17.1,रम्यम्,--,रम्य{पुं;2;एक}/रम्य{नपुं;1;एक}/रम्य{नपुं;2;एक},रम्य{पुं;2;एक},"विशेषणम्,18.1","विशेषणम्,26.1#कर्म,22.1#कर्म,19.1#विशेषणम्,18.1"
18.1,आवसथम्,--,आवसथ{पुं;2;एक},आवसथ{पुं;2;एक},"कर्म,19.1","कर्म,22.1#कर्म,19.1"
19.1,कृत्वा,--,कृ2{अव्य;क्त्वा;स्वादिः}/कृ3{अव्य;क्त्वा;तनादिः},कृ2{अव्य;क्त्वा;स्वादिः},"पूर्वकालः,27.1","पूर्वकालः,27.1"
20.1,देव-,--,देव,देव,"इतरेतर-द्वन्द्वः,20.2","इतरेतर-द्वन्द्वः,20.2"
20.2,गन्धर्व-,--,गन्धर्व,गन्धर्व,"बहुव्रीहिः,20.3","बहुव्रीहिः,20.3"
20.3,सङ्काशाः,--,सङ्काश{पुं;1;बहु}/सङ्काश{पुं;8;बहु}/सङ्काशा{स्त्री;8;बहु}/सङ्काशा{स्त्री;1;बहु}/सङ्काशा{स्त्री;2;बहु},सङ्काश{पुं;1;बहु},"विशेषणम्,24.1","विशेषणम्,22.1#कर्म,22.1#कर्ता,27.1#विशेषणम्,27.1#विशेषणम्,24.1"
21.1,वने,--,वनि{पुं;8;एक}/वन{नपुं;7;एक},वन{नपुं;7;एक},"अधिकरणम्,22.1","अधिकरणम्,27.1#अधिकरणम्,22.1"
22.1,रममाणाः,--,रममाण{पुं;1;बहु(रम्1;शानच्_लट्;कर्तरि;भ्वादिः)}/रममाणा{स्त्री;1;बहु(रम्1;शानच्_लट्;कर्तरि;भ्वादिः)}/रममाणा{स्त्री;2;बहु(रम्1;शानच्_लट्;कर्तरि;भ्वादिः)},रममाण{पुं;1;बहु(रम्1;शानच्_लट्;कर्तरि;भ्वादिः)},"विशेषणम्,24.1","वर्तमानसमानकालः,27.1#कर्ता,27.1#विशेषणम्,24.1#विशेषणम्,23.1#विशेषणम्,24.1"
23.1,ते,--,तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;4;एक}/युष्मद्{सर्वनाम;6;एक},तद्{सर्वनाम;पुं;1;बहु},"विशेषणम्,24.1","षष्ठीसम्बन्धः,24.1#षष्ठीसम्बन्धः,21.1#षष्ठीसम्बन्धः,20.3#षष्ठीसम्बन्धः,18.1#षष्ठीसम्बन्धः,17.1#षष्ठीसम्बन्धः,15.1#प्रयोजनम्1,27.1#विशेषणम्,24.1#कर्ता,27.1"
24.1,त्रयः,--,त्रि{संख्येयम्;पुं;1;बहु}/त्रय{पुं;1;एक}/त्रि{पुं;8;बहु},त्रि{संख्येयम्;पुं;1;बहु},"कर्ता,27.1;कर्ता,19.1;कर्ता,14.1","कर्ता,27.1"
25.1,तत्र,--,तत्र{अव्य},तत्र{अव्य},"देशाधिकरणम्,27.1","देशाधिकरणम्,27.1"
26.1,सुखम्,--,सुखम्{अव्य}/सुख{पुं;2;एक}/सुख{नपुं;1;एक}/सुख{नपुं;2;एक},सुख{नपुं;2;एक},"क्रियाविशेषणम्,27.1","क्रियाविशेषणम्,27.1"
27.1,न्यवसन्,--,नि_वस्1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;भ्वादिः},नि_वस्1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,24.1;सकर्मक",-
28.1,.,-,-,-,-,-
